N_tilde,t_Q,root
13.218181818181817,21.290909090909093,11.393816831384742
13.218181818181817,22.3,12.180247117935222
13.218181818181817,23.30909090909091,12.974096446387957
13.218181818181817,24.31818181818182,13.774805662966314
13.218181818181817,25.327272727272728,14.581878251958212
13.218181818181817,26.336363636363636,15.394871273817214
13.218181818181817,27.345454545454544,16.213387880201633
13.218181818181817,28.354545454545455,17.03707108973927
13.218181818181817,29.363636363636363,17.865598579296236
13.218181818181817,30.37272727272727,18.698678299042307
13.218181818181817,31.381818181818183,19.536044760286018
13.218181818181817,32.39090909090909,20.377455876229586
13.218181818181817,33.4,21.22269025987301
13.218181818181817,34.40909090909091,22.07154490203218
13.218181818181817,35.418181818181814,22.9238331671176
13.218181818181817,36.42727272727273,23.77938305590264
13.218181818181817,37.43636363636364,24.638035693707465
13.218181818181817,38.445454545454545,25.49964400977185
13.218181818181817,39.45454545454545,26.364071579494464
13.218181818181817,40.46363636363636,27.231191605988027
13.218181818181817,41.47272727272727,28.10088602127549
13.218181818181817,42.481818181818184,28.973044690618373
13.218181818181817,43.49090909090909,29.84756470606531
13.218181818181817,44.5,30.724349757450785
13.218181818181817,45.50909090909091,31.603309570846484
13.218181818181817,46.518181818181816,32.484359405943174
13.218181818181817,47.527272727272724,33.36741960506673
13.218181818181817,48.53636363636364,34.252415187583566
13.218181818181817,49.54545454545455,35.13927548428488
13.218181818181817,50.554545454545455,36.02793380710793
13.218181818181817,51.56363636363636,36.91832715015276
13.218181818181817,52.57272727272727,37.81039591848865
13.218181818181817,53.58181818181818,38.70408368169411
13.218181818181817,54.590909090909086,39.599336949460415
13.218181818181817,55.6,40.49610496691931
13.218181818181817,56.60909090909091,41.39433952764082
13.218181818181817,57.61818181818182,42.293994802492726
13.218181818181817,58.627272727272725,43.195027182766545
13.218181818181817,59.63636363636363,44.09739513615847
13.218181818181817,60.64545454545454,45.00105907435585
13.218181818181817,61.654545454545456,45.90598123111824
13.218181818181817,62.663636363636364,46.8121255498653
13.218181818181817,63.67272727272727,47.71945757989078
13.218181818181817,64.68181818181817,48.627944380415904
13.218181818181817,65.69090909090909,49.53755443177788
13.218181818181817,66.69999999999999,50.448257553122566
13.218181818181817,67.7090909090909,51.36002482603471
13.218181818181817,68.7181818181818,52.27282852359577
13.218181818181817,69.72727272727272,53.186642044410334
13.218181818181817,70.73636363636362,54.101439851186434
13.218181818181817,71.74545454545454,55.01719741349593
13.218181818181817,72.75454545454545,55.933891154375175
13.218181818181817,73.76363636363635,56.85149840045977
13.218181818181817,74.77272727272727,57.769997335373894
13.218181818181817,75.78181818181817,58.689366956121425
13.218181818181817,76.79090909090908,59.6095870322479
13.218181818181817,77.8,60.530638067563615
13.218181818181817,78.8090909090909,61.45250126423594
13.218181818181817,79.81818181818181,62.375158489076185
13.218181818181817,80.82727272727271,63.29859224186033
13.218181818181817,81.83636363636363,64.2227856255378
13.218181818181817,82.84545454545453,65.14772231819337
13.218181818181817,83.85454545454544,66.07338654663924
